number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
115,0.31582497656345365,2026-02-27 13:47:29.056099,2026-02-27 13:47:55.375587,0 days 00:00:26.319488,swish,4,0.1,0.00658702979916908,2,16,adam,COMPLETE
116,0.2954343318939209,2026-02-27 13:47:55.393079,2026-02-27 13:48:19.510922,0 days 00:00:24.117843,swish,4,0.1,0.007876568269523637,2,16,adam,COMPLETE
117,0.4183914512395859,2026-02-27 13:48:19.529217,2026-02-27 13:48:42.203349,0 days 00:00:22.674132,swish,4,0.1,0.004613505958293316,2,12,adam,COMPLETE
118,0.29073320627212523,2026-02-27 13:48:42.229569,2026-02-27 13:49:09.004649,0 days 00:00:26.775080,relu,4,0.1,0.006279597731632397,2,12,adam,COMPLETE
119,0.5544709265232086,2026-02-27 13:49:09.022647,2026-02-27 13:50:02.889133,0 days 00:00:53.866486,swish,16,0.1,8.237663445047973e-05,2,16,rmsprop,COMPLETE
120,0.46254431903362275,2026-02-27 13:50:02.903472,2026-02-27 13:50:47.010934,0 days 00:00:44.107462,swish,4,0.1,0.00025191513000338725,2,12,adam,COMPLETE
121,0.33713400065898896,2026-02-27 13:50:47.027827,2026-02-27 13:51:13.664313,0 days 00:00:26.636486,swish,4,0.3,0.00801822679460646,2,12,adam,COMPLETE
122,0.30410023033618927,2026-02-27 13:51:13.679671,2026-02-27 13:51:37.332172,0 days 00:00:23.652501,swish,4,0.1,0.00885158226697588,2,12,adam,COMPLETE
123,0.23919847905635833,2026-02-27 13:51:37.346136,2026-02-27 13:52:04.791294,0 days 00:00:27.445158,swish,4,0.1,0.0075777355046931375,2,12,adam,COMPLETE
124,0.30288572907447814,2026-02-27 13:52:04.804990,2026-02-27 13:52:31.608972,0 days 00:00:26.803982,swish,4,0.1,0.00597358529959942,2,12,adam,COMPLETE
125,0.3479663759469986,2026-02-27 13:52:31.623253,2026-02-27 13:52:56.870413,0 days 00:00:25.247160,swish,4,0.1,0.007398334560809625,2,12,adam,COMPLETE
126,0.30076683312654495,2026-02-27 13:52:56.884655,2026-02-27 13:53:22.845496,0 days 00:00:25.960841,relu,4,0.1,0.00507353768239823,2,12,adam,COMPLETE
127,0.38293491005897523,2026-02-27 13:53:22.869525,2026-02-27 13:53:48.425810,0 days 00:00:25.556285,swish,4,0.1,0.004028636396690103,2,12,adam,COMPLETE
128,0.39934239387512205,2026-02-27 13:53:48.439756,2026-02-27 13:54:14.489379,0 days 00:00:26.049623,swish,4,0.1,0.009823307362713892,2,16,sgd,COMPLETE
129,0.4234265834093094,2026-02-27 13:54:14.500082,2026-02-27 13:54:44.973395,0 days 00:00:30.473313,relu,4,0.1,0.0013640444770810064,2,12,adam,COMPLETE
130,0.29118764102458955,2026-02-27 13:54:44.994852,2026-02-27 13:55:07.301001,0 days 00:00:22.306149,swish,4,0.0,0.007309281407213924,2,12,rmsprop,COMPLETE
131,0.3249962866306305,2026-02-27 13:55:07.313533,2026-02-27 13:55:34.322021,0 days 00:00:27.008488,swish,4,0.1,0.008554168286415382,2,12,adam,COMPLETE
132,0.2782953292131424,2026-02-27 13:55:34.339516,2026-02-27 13:56:00.943025,0 days 00:00:26.603509,swish,4,0.1,0.008018771873376606,2,12,adam,COMPLETE
133,0.32890866994857787,2026-02-27 13:56:00.960612,2026-02-27 13:56:25.319540,0 days 00:00:24.358928,swish,4,0.1,0.005820442729629696,2,12,adam,COMPLETE
134,0.5246651917695999,2026-02-27 13:56:25.345062,2026-02-27 13:57:21.173418,0 days 00:00:55.828356,swish,4,0.1,4.0118510954776466e-05,2,12,adam,COMPLETE
135,0.31648474335670473,2026-02-27 13:57:21.187295,2026-02-27 13:57:47.588541,0 days 00:00:26.401246,leaky_relu,4,0.1,0.006696185537270351,2,12,adam,COMPLETE
136,0.25334776639938356,2026-02-27 13:57:47.614583,2026-02-27 13:58:15.499567,0 days 00:00:27.884984,swish,4,0.1,0.008763575443660004,2,12,adam,COMPLETE
137,0.3083720564842224,2026-02-27 13:58:15.525533,2026-02-27 13:58:42.268077,0 days 00:00:26.742544,relu,8,0.1,0.009980462782381504,2,12,adam,COMPLETE
138,0.309232634305954,2026-02-27 13:58:42.285624,2026-02-27 13:59:06.870761,0 days 00:00:24.585137,swish,4,0.1,0.00869759266408118,2,16,adam,COMPLETE
139,0.3396204009652138,2026-02-27 13:59:06.889151,2026-02-27 13:59:34.585206,0 days 00:00:27.696055,swish,4,0.1,0.005197270532283528,2,12,rmsprop,COMPLETE
140,0.2765854001045227,2026-02-27 13:59:34.611469,2026-02-27 14:00:02.659075,0 days 00:00:28.047606,relu,4,0.1,0.007171628543369359,2,12,adam,COMPLETE
